Month,Mien,TotalCBM
2022-01,Miền Bắc,292.8649
2022-01,Miền Nam,601.174
2022-01,Miền Trung,33.8399
2022-02,Miền Bắc,227.2386
2022-02,Miền Nam,399.6342
2022-02,Miền Trung,24.3717
2022-03,Miền Bắc,270.9518
2022-03,Miền Nam,553.9139
2022-03,Miền Trung,32.611
2022-04,Miền Bắc,239.9905
2022-04,Miền Nam,422.7742
2022-04,Miền Trung,25.1599
2022-05,Miền Bắc,336.798
2022-05,Miền Nam,487.5744
2022-05,Miền Trung,37.9682
2022-06,Miền Bắc,336.9351
2022-06,Miền Nam,584.6223
2022-06,Miền Trung,40.0334
2022-07,Miền Bắc,337.8802
2022-07,Miền Nam,525.1119
2022-07,Miền Trung,40.6682
2022-08,Miền Bắc,367.5751
2022-08,Miền Nam,673.7938
2022-08,Miền Trung,45.2175
2022-09,Miền Bắc,268.1151
2022-09,Miền Nam,559.5146
2022-09,Miền Trung,40.263600000000004
2022-10,Miền Bắc,375.1269
2022-10,Miền Nam,599.0034
2022-10,Miền Trung,24.7907
2022-11,Miền Bắc,480.9246
2022-11,Miền Nam,754.2633
2022-11,Miền Trung,45.053
2022-12,Miền Bắc,1110.5992
2022-12,Miền Nam,1240.777
2022-12,Miền Trung,69.1877
2023-01,Miền Bắc,400.459
2023-01,Miền Nam,509.2713
2023-01,Miền Trung,30.4363
2023-02,Miền Bắc,299.7496
2023-02,Miền Nam,454.2795
2023-02,Miền Trung,43.702400000000004
2023-03,Miền Bắc,347.6218
2023-03,Miền Nam,541.6728
2023-03,Miền Trung,35.5801
2023-04,Miền Bắc,345.8359
2023-04,Miền Nam,455.34950000000003
2023-04,Miền Trung,35.5063
2023-05,Miền Bắc,453.3205
2023-05,Miền Nam,597.3142
2023-05,Miền Trung,46.4453
2023-06,Miền Bắc,367.61220000000003
2023-06,Miền Nam,488.5725
2023-06,Miền Trung,50.2742
2023-07,Miền Bắc,388.6207
2023-07,Miền Nam,576.5807
2023-07,Miền Trung,47.2471
2023-08,Miền Bắc,210.1547
2023-08,Miền Nam,508.3275
2023-08,Miền Trung,38.3541
2023-09,Miền Bắc,221.3096
2023-09,Miền Nam,406.24830000000003
2023-09,Miền Trung,26.206500000000002
2023-10,Miền Bắc,362.7242
2023-10,Miền Nam,521.8512
2023-10,Miền Trung,44.9893
2023-11,Miền Bắc,312.3969
2023-11,Miền Nam,505.8079
2023-11,Miền Trung,45.9343
2023-12,Miền Bắc,646.7584
2023-12,Miền Nam,830.6142
2023-12,Miền Trung,82.3586
2024-01,Miền Bắc,791.5374
2024-01,Miền Nam,818.5888
2024-01,Miền Trung,52.9624
2024-02,Miền Bắc,186.1062
2024-02,Miền Nam,276.2508
2024-02,Miền Trung,17.5572
2024-03,Miền Bắc,254.4738
2024-03,Miền Nam,389.963
2024-03,Miền Trung,39.058
2024-04,Miền Bắc,255.7996
2024-04,Miền Nam,417.2499
2024-04,Miền Trung,37.0659
2024-05,Miền Bắc,317.1943
2024-05,Miền Nam,558.5077
2024-05,Miền Trung,39.6693
2024-06,Miền Bắc,289.9642
2024-06,Miền Nam,483.1232
2024-06,Miền Trung,53.3937
2024-07,Miền Bắc,301.7987
2024-07,Miền Nam,824.6748
2024-07,Miền Trung,49.5308
2024-08,Miền Bắc,384.4273
2024-08,Miền Nam,820.787
2024-08,Miền Trung,67.9271
2024-09,Miền Bắc,339.3417
2024-09,Miền Nam,447.7015
2024-09,Miền Trung,47.187
2024-10,Miền Bắc,504.7578
2024-10,Miền Nam,690.9217
2024-10,Miền Trung,85.3305
2024-11,Miền Bắc,812.9619
2024-11,Miền Nam,1161.1628
2024-11,Miền Trung,77.7674
2024-12,Miền Bắc,1531.9483
2024-12,Miền Nam,1389.7042
2024-12,Miền Trung,95.2252
2025-01,Miền Bắc,823.5304
2025-01,Miền Nam,648.3764
2025-01,Miền Trung,52.365
2025-02,Miền Bắc,224.1097
2025-02,Miền Nam,405.214
2025-02,Miền Trung,41.8237
2025-03,Miền Bắc,272.5506
2025-03,Miền Nam,417.4994
2025-03,Miền Trung,50.4692
2025-04,Miền Bắc,340.0038
2025-04,Miền Nam,542.9914
2025-04,Miền Trung,53.0116
2025-05,Miền Bắc,443.4671
2025-05,Miền Nam,674.6099
2025-05,Miền Trung,72.2825
